env_id,variant,seed,global_step,return_20k_window
HalfCheetah-v5,clip0.1,2,770000,1356
HalfCheetah-v5,clip0.1,2,780000,1265
HalfCheetah-v5,clip0.1,2,790000,1302
HalfCheetah-v5,clip0.1,2,800000,1395
HalfCheetah-v5,clip0.1,2,810000,1373
HalfCheetah-v5,clip0.1,2,820000,1369
HalfCheetah-v5,clip0.1,2,830000,1393
HalfCheetah-v5,clip0.1,2,840000,1395
HalfCheetah-v5,clip0.1,2,850000,1408
HalfCheetah-v5,clip0.1,2,860000,1416
HalfCheetah-v5,clip0.1,2,870000,1416
HalfCheetah-v5,clip0.1,2,880000,1416
HalfCheetah-v5,clip0.1,2,890000,1424
HalfCheetah-v5,clip0.1,2,900000,1420
HalfCheetah-v5,clip0.1,2,910000,1402
HalfCheetah-v5,clip0.1,2,920000,1399
HalfCheetah-v5,clip0.1,2,930000,1401
HalfCheetah-v5,clip0.1,2,940000,1413
HalfCheetah-v5,clip0.1,2,950000,1407
HalfCheetah-v5,clip0.1,2,960000,1398
HalfCheetah-v5,clip0.1,2,970000,1422
HalfCheetah-v5,clip0.1,2,980000,1426
HalfCheetah-v5,clip0.1,2,990000,1423
HalfCheetah-v5,clip0.1,2,1000000,1408
HalfCheetah-v5,clip0.1,3,10000,-324.6
HalfCheetah-v5,clip0.1,3,20000,-302.9
HalfCheetah-v5,clip0.1,3,30000,-289.9
HalfCheetah-v5,clip0.1,3,40000,-286.8
HalfCheetah-v5,clip0.1,3,50000,-265.1
HalfCheetah-v5,clip0.1,3,60000,-234
HalfCheetah-v5,clip0.1,3,70000,-194.2
HalfCheetah-v5,clip0.1,3,80000,-165.7
HalfCheetah-v5,clip0.1,3,90000,-137.1
HalfCheetah-v5,clip0.1,3,100000,-86.95
HalfCheetah-v5,clip0.1,3,110000,-69.35
HalfCheetah-v5,clip0.1,3,120000,-46.38
HalfCheetah-v5,clip0.1,3,130000,24.24
HalfCheetah-v5,clip0.1,3,140000,85.9
HalfCheetah-v5,clip0.1,3,150000,157.7
HalfCheetah-v5,clip0.1,3,160000,240.8
HalfCheetah-v5,clip0.1,3,170000,307
HalfCheetah-v5,clip0.1,3,180000,357.1
HalfCheetah-v5,clip0.1,3,190000,422.5
HalfCheetah-v5,clip0.1,3,200000,521.5
HalfCheetah-v5,clip0.1,3,210000,612.1
HalfCheetah-v5,clip0.1,3,220000,670
HalfCheetah-v5,clip0.1,3,230000,724.8
HalfCheetah-v5,clip0.1,3,240000,797.6
HalfCheetah-v5,clip0.1,3,250000,847.2
HalfCheetah-v5,clip0.1,3,260000,866.2
HalfCheetah-v5,clip0.1,3,270000,890.5
