global_step,return,length
528767,63.0,64
528777,9.0,10
528802,24.0,25
528812,9.0,10
528843,30.0,31
528862,18.0,19
528882,19.0,20
528901,18.0,19
528911,9.0,10
528930,18.0,19
528940,9.0,10
528969,28.0,29
528989,19.0,20
529008,18.0,19
529027,18.0,19
529037,9.0,10
529088,50.0,51
529107,18.0,19
529136,28.0,29
529157,20.0,21
529177,19.0,20
529196,18.0,19
529221,24.0,25
529241,19.0,20
529261,19.0,20
529280,18.0,19
529309,28.0,29
529329,19.0,20
529350,20.0,21
529381,30.0,31
529391,9.0,10
529410,18.0,19
529429,18.0,19
529439,9.0,10
529468,28.0,29
529483,14.0,15
529502,18.0,19
529512,9.0,10
529532,19.0,20
529616,83.0,84
529666,49.0,50
529686,19.0,20
529706,19.0,20
529725,18.0,19
529735,9.0,10
529745,9.0,10
529764,18.0,19
529788,23.0,24
529807,18.0,19
529828,20.0,21
529886,57.0,58
529906,19.0,20
529925,18.0,19
529935,9.0,10
529965,29.0,30
529984,18.0,19
530003,18.0,19
530053,49.0,50
530063,9.0,10
530082,18.0,19
530101,18.0,19
530111,9.0,10
530130,18.0,19
530150,19.0,20
530169,18.0,19
530230,60.0,61
530240,9.0,10
530259,18.0,19
530269,9.0,10
530289,19.0,20
530318,28.0,29
530337,18.0,19
530366,28.0,29
530385,18.0,19
530404,18.0,19
530414,9.0,10
530424,9.0,10
531424,1000.0,1000
532424,1000.0,1000
533424,1000.0,1000
534424,1000.0,1000
535424,1000.0,1000
536424,1000.0,1000
537424,1000.0,1000
538424,1000.0,1000
539424,1000.0,1000
540424,1000.0,1000
541424,1000.0,1000
542424,1000.0,1000
543424,1000.0,1000
544424,1000.0,1000
545424,1000.0,1000
546424,1000.0,1000
547424,1000.0,1000
548424,1000.0,1000
549424,1000.0,1000
550424,1000.0,1000
551424,1000.0,1000
552424,1000.0,1000
553424,1000.0,1000
554424,1000.0,1000
555424,1000.0,1000
556424,1000.0,1000
557424,1000.0,1000
558424,1000.0,1000
559424,1000.0,1000
560424,1000.0,1000
561424,1000.0,1000
